X,Y
1,253.176
2,256.942
3,255.641
4,257.657
5,257.254
6,257.035
7,258.185
8,258.038
9,256.932
10,257.715
11,258.142
12,256.516
13,257.758
14,258.953
15,256.792
16,258.354
17,258.473
18,256.761
19,257.214
20,256.848
21,257.838
22,259.022
23,258.854
24,258.099
25,258.591
26,258.969
27,257.802
28,258.461
29,259.861
30,258.011
31,258.595
32,257.637
33,259.791
34,260.258
35,260.271
36,260.954
37,260.482
38,261.864
39,260.218
40,259.230
41,260.342
42,260.572
43,260.733
44,261.024
45,259.185
46,260.039
47,261.499
48,260.259
49,260.097
50,259.554
51,258.953
52,260.512
53,261.143
54,260.209
55,259.597
56,260.291
57,264.596
58,269.321
59,259.169
60,257.735
61,259.176
62,258.819
63,259.436
64,259.450
65,259.928
66,259.182
67,259.493
68,260.068
69,259.821
70,258.979
71,259.987
72,259.460
73,258.887
74,260.683
75,259.442
76,260.176
77,260.716
78,259.213
79,257.766
80,259.832
81,258.121
82,258.046
83,259.786
84,259.604
85,259.123
86,259.935
87,260.060
88,259.849
89,261.523
90,261.172
91,260.277
92,260.055
93,260.341
94,260.441
95,261.634
96,260.561
97,261.240
98,277.004
99,273.040
100,282.004
101,288.109
102,288.814
103,287.589
104,289.534
105,288.962
106,287.872
107,278.681
108,276.823
109,274.679
110,275.498
111,274.706
112,272.116
113,272.307
114,257.862
115,258.482
116,260.653
117,262.872
118,262.347
119,261.688
120,261.412
121,260.364
122,260.186
123,261.765
124,261.408
125,261.543
126,261.146
127,276.195
128,274.651
129,274.251
130,276.948
131,275.142
132,259.877
133,262.186
134,260.743
135,259.557
136,263.201
137,261.856
138,260.355
139,262.707
140,261.552
141,260.624
142,264.016
143,260.654
144,259.148
145,262.305
146,261.056
147,259.615
148,262.300
149,260.961
150,259.697
151,263.374
152,259.970
153,259.841
154,264.157
155,261.352
156,259.403
157,261.807
158,260.549
159,272.415
160,275.599
161,273.143
162,271.594
163,271.528
164,261.408
165,259.597
166,261.641
167,260.913
168,259.228
169,261.973
170,261.159
171,259.631
172,262.398
173,260.983
174,258.008
175,260.130
176,261.173
177,259.863
178,262.039
179,261.678
180,259.636
181,262.054
182,260.295
183,260.965
184,262.173
185,260.953
186,259.583
187,264.184
188,261.571
189,261.363
190,261.511
191,260.310
192,258.686
193,260.858
194,261.987
195,258.487
196,260.793
197,260.739
198,258.834
199,261.332
200,260.563
201,259.068
202,261.833
203,260.660
204,258.853
205,259.258
206,259.034
207,258.994
208,260.712
209,261.139
210,258.535
211,260.844
212,258.572
213,258.164
214,260.542
215,260.916
216,258.841
217,261.701
218,261.000
219,259.049
220,260.079
221,258.417
222,256.914
223,259.063
224,259.816
225,256.846
226,259.658
227,260.512
228,257.345
229,261.041
230,260.299
231,259.926
232,260.999
233,260.837
234,266.131
235,255.596
236,254.470
237,252.238
238,254.223
239,254.844
240,267.724
241,274.387
242,274.022
243,274.080
244,275.304
245,276.308
246,273.669
247,274.821
248,274.753
249,273.314
250,274.180
251,273.690
252,274.866
253,277.538
254,278.819
255,276.143
256,275.420
257,275.896
258,272.635
259,274.682
260,274.603
261,272.330
262,265.676
263,261.067
264,262.946
265,260.957
266,260.884
267,258.240
268,258.594
269,260.925
270,259.438
271,260.211
272,260.042
273,259.184
274,260.521
275,261.133
276,259.386
277,261.357
278,261.093
279,260.203
280,260.770
281,261.232
282,260.110
283,261.207
284,261.916
285,260.163
286,260.199
287,261.083
288,259.038
289,260.184
290,260.695
291,259.356
292,260.054
293,260.526
294,259.961
295,260.160
296,260.639
297,259.777
298,257.898
299,259.068
300,259.855
301,259.684
302,261.242
303,259.620
304,260.037
305,260.639
306,260.050
307,260.748
308,261.030
309,260.063
310,259.747
311,260.535
312,260.522
313,260.278
314,261.295
315,260.469
316,259.994
317,261.238
318,260.066
319,260.655
320,261.097
321,260.391
322,260.939
323,261.360
324,260.881
325,260.431
326,261.795
327,260.833
328,260.351
329,260.702
330,260.594
331,260.500
332,260.184
333,261.532
334,260.866
335,260.530
336,260.254
337,260.388
338,260.669
339,261.422
340,260.152
