mm,yyyy,tmax,tmin,af,rain,sun
1,1959,6.4,1.1,13,109.5,100.4
2,1959,6.6,2.0,4,0.0,73.4
3,1959,10.4,5.1,0,43.0,128.4
4,1959,12.7,7.3,0,62.5,163.5
5,1959,16.8,9.3,0,12.5,250.1
6,1959,18.9,11.9,0,23.2,296.0
7,1959,21.6,14.2,0,39.8,333.0
8,1959,21.8,14.8,0,25.7,246.4
9,1959,20.8,12.8,0,6.6,265.8
10,1959,16.8,10.7,0,106.8,171.7
11,1959,11.7,6.2,0,151.5,72.0
12,1959,10.0,5.1,1,196.7,32.2
1,1960,7.4,2.6,6,82.0,54.1
2,1960,7.8,2.7,6,52.6,103.0
3,1960,9.0,5.0,1,80.5,100.5
4,1960,12.7,5.9,0,35.7,185.9
5,1960,16.2,9.7,0,70.4,204.4
6,1960,18.9,12.4,0,59.1,257.3
7,1960,18.4,13.4,0,60.2,195.3
8,1960,19.4,13.4,0,148.8,225.7
9,1960,17.6,11.9,0,66.5,158.0
10,1960,14.3,9.9,0,179.5,122.1
11,1960,11.8,7.1,0,218.8,76.9
12,1960,7.6,3.5,1,125.3,46.9
1,1961,7.3,3.1,3,147.5,65.0
2,1961,9.4,5.6,0,66.7,85.9
3,1961,11.4,4.4,0,6.3,190.8
4,1961,13.1,8.6,0,60.8,134.3
5,1961,15.4,8.6,0,32.0,282.3
6,1961,18.4,11.6,0,32.7,299.1
7,1961,19.5,12.9,0,69.1,248.1
8,1961,19.8,14.0,0,17.2,211.9
9,1961,19.3,13.5,0,64.5,159.4
10,1961,15.5,10.1,0,111.8,153.4
11,1961,10.1,6.0,1,100.6,69.3
12,1961,7.6,2.7,12,104.1,78.8
1,1962,7.8,3.5,6,89.7,73.9
2,1962,7.3,2.4,4,18.6,87.2
3,1962,6.4,1.0,11,50.0,149.2
4,1962,10.7,5.3,0,48.6,153.3
5,1962,12.7,7.5,0,41.8,182.3
6,1962,16.7,9.7,0,12.8,290.1
7,1962,18.1,12.9,0,53.1,197.6
8,1962,18.4,13.1,0,105.5,223.9
9,1962,17.1,11.4,0,64.7,182.3
10,1962,15.3,9.4,0,51.8,151.8
11,1962,9.4,5.2,2,69.8,37.1
12,1962,6.3,1.0,14,97.9,116.5
1,1963,1.0,-2.8,26,12.5,72.8
2,1963,2.0,-1.3,18,19.5,94.2
3,1963,7.9,3.4,3,74.0,135.0
4,1963,10.8,5.4,0,89.9,152.7
5,1963,13.8,7.8,0,42.0,239.5
6,1963,17.4,12.0,0,87.2,221.3
7,1963,18.6,12.9,0,43.4,287.4
