X,Y
1,6144.436
2,878.409
3,372.030
4,372.051
5,373.168
6,373.302
7,373.339
8,373.720
9,372.374
10,373.150
11,374.820
12,374.456
13,374.627
14,374.526
15,373.938
16,374.859
17,374.623
18,374.789
19,374.615
20,374.296
21,374.053
22,375.167
23,374.926
24,373.361
25,373.235
26,374.875
27,375.450
28,375.784
29,375.568
30,374.473
31,373.222
32,372.052
33,373.600
34,375.505
35,376.043
36,374.917
37,374.376
38,376.703
39,376.722
40,375.115
41,374.557
42,373.066
43,374.083
44,375.582
45,374.217
46,376.144
47,374.799
48,373.763
49,375.500
50,375.120
51,375.560
52,375.610
53,375.511
54,374.119
55,375.280
56,375.949
57,373.844
58,375.203
59,375.890
60,371.894
61,373.419
62,372.208
63,371.563
64,374.667
65,375.456
66,374.473
67,375.135
68,375.720
69,374.430
70,375.185
71,375.931
72,374.373
73,374.952
74,375.284
75,373.685
76,378.044
77,375.856
78,373.266
79,375.413
80,375.489
81,373.192
82,375.368
83,374.938
84,373.875
85,374.994
86,374.982
87,374.945
88,375.833
89,375.404
90,372.936
91,375.353
92,373.257
93,373.227
94,374.774
95,374.898
96,372.910
97,374.888
98,374.471
99,373.305
100,374.935
101,374.133
102,373.384
103,374.513
104,375.037
105,372.899
106,374.829
107,387.184
108,392.389
109,394.730
110,463.212
111,425.559
112,393.915
113,393.387
114,373.691
115,371.156
116,371.841
117,369.661
118,371.311
119,380.877
120,435.267
121,392.198
122,368.788
123,370.242
124,369.741
125,368.702
126,368.446
127,376.288
128,374.813
129,373.055
130,373.125
131,375.199
132,374.402
133,374.518
134,375.732
135,372.042
136,374.771
137,376.700
138,372.699
139,375.918
140,376.400
141,374.462
142,377.010
143,376.732
144,374.372
145,373.940
146,374.778
147,377.706
148,390.780
149,376.912
150,374.062
151,377.152
152,375.442
153,374.057
154,375.729
155,376.595
156,374.045
157,375.367
158,375.316
159,372.710
160,373.616
161,379.406
162,378.127
163,375.207
164,378.656
165,373.601
166,375.245
167,376.700
168,373.491
169,374.816
170,375.980
171,373.035
172,376.125
173,376.497
174,373.850
175,374.694
176,376.833
177,373.740
178,374.570
179,376.751
180,374.406
181,374.595
182,373.343
183,372.056
184,374.683
185,375.635
186,373.724
187,376.594
188,377.496
189,376.558
190,373.835
191,377.061
192,389.543
193,385.529
194,376.418
195,371.562
196,373.262
197,375.759
198,373.988
199,375.719
200,377.732
201,373.219
202,374.951
203,376.397
204,372.926
205,374.294
206,376.993
207,375.011
208,375.083
209,377.151
210,373.813
211,374.156
212,374.913
213,374.411
214,373.896
215,374.446
216,371.931
217,374.226
218,377.415
219,375.242
220,374.588
221,376.182
222,373.728
223,374.034
224,379.986
225,393.098
226,376.727
227,378.253
228,374.564
229,374.810
230,376.918
231,374.877
232,376.216
233,437.402
234,599.672
235,859.152
236,861.839
237,858.169
238,854.127
239,859.903
240,857.204
241,859.353
242,861.123
243,864.494
244,866.810
245,869.554
246,867.447
247,868.076
248,869.715
249,867.902
250,866.684
251,870.000
252,869.186
253,868.615
254,872.939
255,876.415
256,899.951
257,957.948
258,990.128
259,1024.845
260,1031.560
261,1011.537
262,994.548
263,999.028
264,1006.951
265,1003.972
266,1009.669
267,1012.490
268,1021.858
269,1023.382
270,1026.000
271,1022.202
272,1023.366
273,1027.235
274,1026.845
275,1030.070
276,1026.325
277,1027.186
278,1029.819
279,1028.110
280,1026.718
281,1030.073
282,1029.565
283,1026.021
284,1028.963
285,1028.088
286,1025.387
287,1028.260
288,1026.520
289,1030.106
290,1052.153
291,1045.281
292,1033.249
293,1033.259
294,1019.651
295,1009.786
296,1027.422
297,1028.688
298,1009.281
299,1027.034
300,1018.183
301,1066.573
302,1129.065
303,1304.758
304,1501.687
305,1792.240
306,2031.089
307,2391.187
308,2826.703
309,3216.857
310,3624.521
311,3921.953
312,4202.061
313,4532.409
314,4914.804
315,5294.835
316,5391.984
317,5424.758
318,5474.793
319,5506.889
320,5514.165
321,5513.611
322,5513.703
323,5527.544
324,5530.493
325,5527.832
326,5527.509
327,5473.569
328,5359.261
329,5336.953
330,5314.783
331,5329.643
332,5347.645
333,5356.431
334,5375.391
335,5385.322
336,5389.087
337,5389.966
338,5411.402
339,5440.207
340,5532.504
341,5530.974
342,5489.271
343,5466.226
344,5608.218
345,5693.105
346,5744.613
347,5863.641
348,5943.631
349,6059.687
350,6215.123
351,6284.307
352,6438.017
